source_row_id,model_score,priority,actual_outcome
41917,0.84068089489355347,Top 100,1
41580,0.83545842852514463,Top 100,0
42386,0.83540350692326615,Top 100,1
42753,0.81805533571530786,Top 100,0
44800,0.81753559726061831,Top 100,1
43896,0.81517750953619861,Top 100,0
43165,0.81402946039655499,Top 100,0
44027,0.81251637343319594,Top 100,0
44664,0.81248767904117236,Top 100,1
43122,0.81111417460822155,Top 100,1
43423,0.8099843348805662,Top 100,0
42709,0.80958311598393196,Top 100,0
43135,0.80732652581527764,Top 100,0
42383,0.80674141446332381,Top 100,0
44791,0.80662426978322621,Top 100,1
43642,0.80435899616585183,Top 100,1
42227,0.80433907007776395,Top 100,1
44521,0.80001137842851822,Top 100,1
40212,0.79891963983671066,Top 100,1
39480,0.79766209545047206,Top 100,0
44254,0.78859459622988748,Top 100,1
43731,0.78741414036123869,Top 100,1
42859,0.78332903698863188,Top 100,1
43525,0.78187691500758205,Top 100,0
42730,0.7818309857251734,Top 100,1
42851,0.78182345465579217,Top 100,1
44786,0.78122568035771556,Top 100,1
44151,0.78115508161233405,Top 100,1
43477,0.78026627914563462,Top 100,1
44806,0.78014064225311019,Top 100,0
44128,0.77756648448226939,Top 100,0
44420,0.7766018700980134,Top 100,1
40866,0.77617317235517103,Top 100,0
44401,0.77486275383198888,Top 100,1
43705,0.77345669129578065,Top 100,1
43197,0.77048347790863714,Top 100,1
45101,0.77036847621359295,Top 100,1
43965,0.77020844852534065,Top 100,1
39529,0.76970537569243125,Top 100,0
43164,0.76915763102251322,Top 100,1
41016,0.76875328513179464,Top 100,1
42534,0.76868766458377435,Top 100,1
43005,0.76697662514992482,Top 100,1
44534,0.76637882402085311,Top 100,1
44910,0.76501094714402451,Top 100,1
42711,0.76304308199873916,Top 100,0
44762,0.76174877004659369,Top 100,1
43336,0.76120195671297997,Top 100,1
42966,0.75898540045253848,Top 100,1
42993,0.75860221890152257,Top 100,1
43475,0.75709162959655096,Top 100,1
31281,0.75538808953935876,Top 100,1
40226,0.7540100210694155,Top 100,1
44460,0.7524154850151421,Top 100,1
43317,0.75237827332049056,Top 100,0
33742,0.7523425958203509,Top 100,1
41742,0.75162037880659305,Top 100,1
43547,0.75125138880173969,Top 100,1
44863,0.74972649881556952,Top 100,1
43938,0.74764866550345987,Top 100,1
39647,0.74679196570790707,Top 100,1
41245,0.74459360340406999,Top 100,1
43892,0.74412386587325674,Top 100,1
42111,0.74177271844873893,Top 100,1
41247,0.7409867419040016,Top 100,0
45098,0.74088477690562593,Top 100,0
43929,0.74064547471976483,Top 100,1
42717,0.73953072394415165,Top 100,0
44234,0.73881358977396827,Top 100,0
44643,0.73755907936463516,Top 100,1
41659,0.73684004132195402,Top 100,0
27974,0.73544974954302511,Top 100,0
43684,0.73467641757323687,Top 100,1
42498,0.73434530818188759,Top 100,0
41610,0.73426330694312381,Top 100,1
43467,0.73328721935823227,Top 100,1
43707,0.73310320272600549,Top 100,1
43571,0.73288900281104297,Top 100,0
43039,0.73144754581722526,Top 100,1
45162,0.73055650379949466,Top 100,1
44252,0.73027498169417182,Top 100,1
44150,0.72868558570413888,Top 100,1
44756,0.72833196226028385,Top 100,1
45102,0.72724961107617137,Top 100,1
27454,0.72629402484775618,Top 100,0
41641,0.72577493412539029,Top 100,1
45193,0.72210691512293279,Top 100,1
34147,0.71997662788331174,Top 100,1
43001,0.7188704762317969,Top 100,1
43860,0.71717080118597964,Top 100,1
44072,0.71535385158940679,Top 100,1
44678,0.71485935636328657,Top 100,0
43579,0.71268303116280918,Top 100,1
41683,0.71140614345195596,Top 100,1
41375,0.70883115359558213,Top 100,0
40775,0.70868243513098406,Top 100,0
44256,0.70851580745053311,Top 100,1
44189,0.70319516570671703,Top 100,1
43658,0.70151263366059724,Top 100,1
42805,0.70061490887161715,Top 100,0
